Date,PL,Shares,PL zscore,Shares zscore,xy
2016-03-11 00:00:00-05:00,0.006729383779333311,0.00041647385469689957,-0.3095286537902546,-0.2008197076952959,0.06215945377747738
2016-03-16 00:00:00-04:00,0.00716972509217827,0.00015039333641832486,-0.30908831247740964,-0.20108578821357445,0.06215326694212352
2017-09-18 00:00:00-04:00,-0.05382428957161944,0.2178649237472767,-0.37008232714120737,0.016628742197283913,-0.006154003609802025
2018-06-01 00:00:00-04:00,0.19016088849412638,0.00011485451761102603,-0.12609714907546155,-0.20112132703238175,0.025360825957056896
2018-06-18 00:00:00-04:00,0.09316765792019727,0.00010267993874425728,-0.22309037964939066,-0.20113350161124854,0.04487094923466477
2018-07-30 00:00:00-04:00,0.20512799757754077,0.00033499234303215926,-0.11113003999204715,-0.20090118920696062,0.022326157191019366
2018-09-07 00:00:00-04:00,0.10497304519436415,1.4655378237340548,-0.21128499237522377,1.264301642184062,-0.26712796282884244
2018-10-15 00:00:00-04:00,0.053830281949994514,0.0003382296095863935,-0.2624277556195934,-0.20089795194040638,0.05272119863629379
2019-03-01 00:00:00-05:00,-0.021212185052688588,0.00014409221902017292,-0.3374702226222765,-0.2010920893309726,0.06786259215410204
2020-12-14 00:00:00-05:00,-0.19201999386414065,0.02386678346180799,-0.5082780314337285,-0.1773693980881848,0.0901529684968479
2020-12-16 00:00:00-05:00,0.020761225121661533,0.011679514132212099,-0.2954968124479264,-0.18955666741778068,0.0560133910002059
2020-12-18 00:00:00-05:00,-0.035087687010102085,0.011679514132212099,-0.35134572457969,-0.18955666741778068,0.06659992466281146
2020-12-21 00:00:00-05:00,0.0036496315432303786,0.0350385423966363,-0.31260840602635753,-0.1661976391533565,0.05195477906107453
2020-12-23 00:00:00-05:00,-0.007547162342173654,0.011679514132212099,-0.3238051999117616,-0.18955666741778068,0.06137943458782178
2021-01-27 00:00:00-05:00,-0.15275051655795904,0.3891280658724597,-0.46900855412754694,0.1878918843224669,-0.08812290099838051
2021-02-01 00:00:00-05:00,-0.41449273150900134,0.024072179397337072,-0.7307507690785893,-0.1771640021526557,0.129462730826094
2021-03-16 00:00:00-04:00,0.06754773010456458,8.893726674960014e-05,-0.24871030746502334,-0.20114724428324318,0.050027392971427574
2021-03-19 00:00:00-04:00,-0.0698166927705301,0.0035165185711746936,-0.386074730340118,-0.1977196629788181,0.07633456556748622
2021-03-26 00:00:00-04:00,-0.024284452684808316,0.0001332859427759019,-0.34054249025439626,-0.2011028956072169,0.06848408086745153
2021-03-29 00:00:00-04:00,0.045539011217017804,4.4428647591967304e-05,-0.2707190263525701,-0.20119175290240082,0.05446643545590482
2021-04-16 00:00:00-04:00,0.21834502416371174,0.0001230762395592678,-0.09791301340587619,-0.20111310531043353,0.019691590176357868
2021-04-22 00:00:00-04:00,0.14741790654779377,0.00011107161897991825,-0.16884013102179415,-0.20112510993101287,0.033957989912524966
2021-05-14 00:00:00-04:00,4.0641563440622805,3.2191081105090164e-05,3.7478983064926927,-0.2012039904688877,-0.7540920951379161
2021-05-28 00:00:00-04:00,0.977668854369158,3.331260548991738e-05,0.66141081679957,-0.20120286894450287,-0.1330777538910005
2021-06-03 00:00:00-04:00,-0.055814008676661614,0.0001733565781291641,-0.37207204624624957,-0.20106282497186362,0.07480985671133282
2021-06-07 00:00:00-04:00,0.0884718289594071,3.170693790530337e-05,-0.22778620861018084,-0.20120447461208749,0.0458316044272908
2021-06-09 00:00:00-04:00,0.21670724530983002,3.1638091853957536e-05,-0.09955079225975791,-0.20120454345813882,0.020030071707520608
2021-06-14 00:00:00-04:00,0.07283236833986452,4.09300879452785e-06,-0.24342566922972342,-0.20123208854119826,0.048985055823636145
2021-06-17 00:00:00-04:00,0.01770323078493475,5.540996713156258e-06,-0.2985548067846532,-0.20123064055327963,0.060078375009536396
2021-08-16 00:00:00-04:00,0.3349916757781487,8.84518730641108e-05,0.018733638208560777,-0.20114772967692868,-0.0037682287942409653
2021-11-01 00:00:00-04:00,0.23554725624375905,0.0003417820894940876,-0.08071078132582887,-0.2008943994604987,0.016214343944440025
2021-11-05 00:00:00-04:00,0.09482962655414598,0.00011674060238150829,-0.22142841101544194,-0.20111944094761128,0.044533558233343574
2021-11-09 00:00:00-05:00,0.042957791000072174,0.0012160479414740446,-0.27330024656951574,-0.20002013360851875,0.054665551834075655
2021-11-10 00:00:00-05:00,0.08710549220283138,0.000106914935014398,-0.22915254536675655,-0.2011292666149784,0.04608928339257131
2021-11-12 00:00:00-05:00,0.09866473328294235,5.188536072846136e-05,-0.21759330428664558,-0.20118429618926434,0.043776355778405225
2021-12-07 00:00:00-05:00,0.07070700259442761,0.0006436609852906841,-0.24555103497516031,-0.20059252056470211,0.049255701032938734
2021-12-29 00:00:00-05:00,0.0649030027453037,3.4496848003735696e-05,-0.25135503482428423,-0.20120168470198904,0.050573056464973114
2021-12-30 00:00:00-05:00,-0.026167635029888007,2.2941474044672737e-05,-0.3424256725994759,-0.20121324007594812,0.06890057906892637
2022-01-10 00:00:00-05:00,0.03847831781697911,8.982216514903883e-05,-0.27777971975260884,-0.20114635938484374,0.055874379339179436
2022-01-11 00:00:00-05:00,-0.01642102693256579,0.0006080239707370223,-0.33267906450215373,-0.20062815757925576,0.06674478777625749
2022-01-12 00:00:00-05:00,-0.008989768250615152,0.0001848392871040548,-0.3252478058202031,-0.20105134226288873,0.06539150792821122
2022-01-13 00:00:00-05:00,-0.08941683494315483,9.842789322126236e-05,-0.40567487251274276,-0.20113775365677153,0.08159653257221025
