Date,High,Shares,Price,Total,FF,Delta,S/FF,D/H
2016-03-11 00:00:00-05:00,22.719160040274993,9000.0,29.34,264060.0,21610000,0.15288594705510405,0.00041647385469689957,0.006729383779333311
2016-03-16 00:00:00-04:00,22.390446676122995,3250.0,29.1,94560.0,21610000,0.1605333473588786,0.00015039333641832486,0.00716972509217827
2017-09-18 00:00:00-04:00,14.180770044720694,12000000.0,6.09,73080000.0,55080000,-0.7632698732355934,0.2178649237472767,-0.05382428957161944
2018-06-01 00:00:00-04:00,12.341185742989783,6000.0,14.76,88560.0,52240000,2.3468108459579824,0.00011485451761102603,0.19016088849412638
2018-06-18 00:00:00-04:00,13.474459711093118,5364.0,15.95,85555.8,52240000,1.2553838530226038,0.00010267993874425728,0.09316765792019727
2018-07-30 00:00:00-04:00,13.055997190960547,17500.0,15.42,269850.0,52240000,2.678150560159734,0.00033499234303215926,0.20512799757754077
2018-09-07 00:00:00-04:00,17.07879404286695,75826927.0,1.82,138005007.14,51740000,1.7928130189271094,1.4655378237340548,0.10497304519436415
2018-10-15 00:00:00-04:00,17.61349785451826,17500.0,18.7,327250.0,51740000,0.9481395556343415,0.0003382296095863935,0.053830281949994514
2019-03-01 00:00:00-05:00,15.25107514858246,7500.0,15.75,118125.0,52050000,-0.32350862830419125,0.00014409221902017292,-0.021212185052688588
2020-12-14 00:00:00-05:00,4.010000228881836,2043474.0,3.38,6906942.12,85620000,-0.7700002193450928,0.02386678346180799,-0.19201999386414065
2020-12-16 00:00:00-05:00,2.890000104904175,1000000.0,2.78,2780000.0,85620000,0.059999942779541016,0.011679514132212099,0.020761225121661533
2020-12-18 00:00:00-05:00,2.8499999046325684,1000000.0,2.79,2790000.0,85620000,-0.09999990463256836,0.011679514132212099,-0.035087687010102085
2020-12-21 00:00:00-05:00,2.740000009536743,3000000.0,2.76,8280000.0,85620000,0.009999990463256836,0.0350385423966363,0.0036496315432303786
2020-12-23 00:00:00-05:00,2.6500000953674316,1000000.0,2.59,2590000.0,85620000,-0.019999980926513672,0.011679514132212099,-0.007547162342173654
2021-01-27 00:00:00-05:00,20.360000610351562,33317145.0,16.05,534740177.25,85620000,-3.1100006103515625,0.3891280658724597,-0.15275051655795904
2021-02-01 00:00:00-05:00,17.25,2061060.0,14.59,30070865.4,85620000,-7.149999618530273,0.024072179397337072,-0.41449273150900134
2021-03-16 00:00:00-04:00,13.619999885559082,40036.0,13.56,1032987.24,450160000,0.9200000762939453,8.893726674960014e-05,0.06754773010456458
2021-03-19 00:00:00-04:00,14.180000305175781,1582996.0,14.43,22842632.28,450160000,-0.9900007247924805,0.0035165185711746936,-0.0698166927705301
2021-03-26 00:00:00-04:00,11.529999732971191,60000.0,10.11,606600.0,450160000,-0.2799997329711914,0.0001332859427759019,-0.024284452684808316
2021-03-29 00:00:00-04:00,10.760000228881836,20000.0,10.26,205200.0,450160000,0.48999977111816406,4.4428647591967304e-05,0.045539011217017804
2021-04-16 00:00:00-04:00,10.029999732971191,55404.0,9.485,525683.96,450160000,2.190000534057617,0.0001230762395592678,0.21834502416371174
2021-04-22 00:00:00-04:00,10.649999618530273,50000.0,9.92,496000.0,450160000,1.5700006484985352,0.00011107161897991825,0.14741790654779377
2021-05-14 00:00:00-04:00,14.34000015258789,14495.0,13.87,201045.65,450280000,58.28000259399414,3.2191081105090164e-05,4.0641563440622805
2021-05-28 00:00:00-04:00,36.720001220703125,15000.0,27.42,411300.0,450280000,35.900001525878906,3.331260548991738e-05,0.977668854369158
2021-06-03 00:00:00-04:00,68.80000305175781,78059.0,51.97666666666667,4087869.5799999996,450280000,-3.8400039672851562,0.0001733565781291641,-0.055814008676661614
2021-06-07 00:00:00-04:00,59.68000030517578,14277.0,55.34,790089.18,450280000,5.279998779296875,3.170693790530337e-05,0.0884718289594071
2021-06-09 00:00:00-04:00,53.38999938964844,14246.0,49.54,705746.84,450280000,11.569999694824219,3.1638091853957536e-05,0.21670724530983002
2021-06-14 00:00:00-04:00,60.54999923706055,1843.0,58.14,107152.02,450280000,4.409999847412109,4.09300879452785e-06,0.07283236833986452
2021-06-17 00:00:00-04:00,63.83000183105469,2495.0,60.84,151795.8,450280000,1.1299972534179688,5.540996713156258e-06,0.01770323078493475
2021-08-16 00:00:00-04:00,36.18000030517578,45405.0,34.79,1579639.95,513330000,12.119998931884766,8.84518730641108e-05,0.3349916757781487
2021-11-01 00:00:00-04:00,37.189998626708984,175447.0,35.973333333333336,6305964.66,513330000,8.760002136230469,0.0003417820894940876,0.23554725624375905
2021-11-05 00:00:00-04:00,41.970001220703125,60000.0,41.3,2478000.0,513960000,3.979999542236328,0.00011674060238150829,0.09482962655414598
2021-11-09 00:00:00-05:00,42.599998474121094,625000.0,40.53,25331250.0,513960000,1.8300018310546875,0.0012160479414740446,0.042957791000072174
2021-11-10 00:00:00-05:00,40.869998931884766,54950.0,39.22,2155139.0,513960000,3.5600013732910156,0.000106914935014398,0.08710549220283138
2021-11-12 00:00:00-05:00,40.439998626708984,26667.0,39.79,1061079.93,513960000,3.990001678466797,5.188536072846136e-05,0.09866473328294235
2021-12-07 00:00:00-05:00,31.68000030517578,330816.0,30.865000000000002,10212106.76,513960000,2.2399978637695312,0.0006436609852906841,0.07070700259442761
2021-12-29 00:00:00-05:00,28.350000381469727,17730.0,27.8,353894.0,513960000,1.8400001525878906,3.4496848003735696e-05,0.0649030027453037
2021-12-30 00:00:00-05:00,30.190000534057617,11791.0,27.91,329086.81,513960000,-0.7900009155273438,2.2941474044672737e-05,-0.026167635029888007
